| name | type | adr  | bit  | descr                                                     |
| ---- | ---- | ---- | ---- | --------------------------------------------------------- |
| STA  | INT  | 0    |      | `STA`+`CMD` (біт `X15` – `CMDLOAD` - завантажити в буфер) |
| VAL  | INT  | 1    |      | значення `CH_CFG.VAL`                                     |
